,Predict,Predict_EWM
2010-10-31,-0.043643378,-0.22066544664210053
2010-11-30,-0.013192618,-0.17917088096683004
2010-12-31,0.030419728,-0.13725275921598892
2011-01-31,0.051802628,-0.09944168182433305
2011-02-28,0.08884848,-0.06178364964104222
2011-03-31,0.115072824,-0.026412354900650397
2011-04-30,0.110338114,0.0009377389198841936
2011-05-31,0.1051875,0.021787690742516703
2011-06-30,0.09682861,0.03679587453500763
2011-07-31,0.08252321,0.045941341995369075
2011-08-31,0.063929014,0.04953887637787714
2011-09-30,0.052826844,0.0501964699334594
2011-10-31,0.030609211,0.046279018137390805
2011-11-30,0.009875378,0.038998290037938275
2011-12-31,-0.020382883,0.027122055424911435
2012-01-31,-0.042274475,0.013242749320397899
2012-02-29,-0.06960692,-0.0033271850570598237
2012-03-31,-0.07327597,-0.017316941732133148
2012-04-30,-0.07930661,-0.02971487537142811
2012-05-31,-0.08670598,-0.04111309683416031
2012-06-30,-0.099082,-0.05270687757804984
2012-07-31,-0.10636211,-0.0634379244357347
2012-08-31,-0.112650625,-0.07328046463012691
2012-09-30,-0.10961778,-0.0805479271378517
2012-10-31,-0.08150327,-0.08073899612159728
2012-11-30,-0.028182792,-0.07022775520647526
2012-12-31,0.012958569,-0.053590490274746896
2013-01-31,0.078358606,-0.02720067111899033
2013-02-28,0.11285824,0.0008111117621296682
2013-03-31,0.15052283,0.030753455030126102
2013-04-30,0.16091898,0.056786560191474544
2013-05-31,0.17197232,0.07982371204993105
2013-06-30,0.20643862,0.10514669282357675
2013-07-31,0.25703076,0.1355235053151511
2013-08-31,0.30635133,0.1696890710234374
2013-09-30,0.34910005,0.20557126748082877
2013-10-31,0.3561282,0.23568265118215753
2013-11-30,0.36747465,0.2620410500209671
2013-12-31,0.40968487,0.2915698133501325
2014-01-31,0.4422923,0.32171431124948774
2014-02-28,0.47691497,0.352754443412966
2014-03-31,0.5181023,0.3858240123796038
2014-04-30,0.55710727,0.42008066385647236
2014-05-31,0.63140196,0.46234492230145596
2014-06-30,0.66877115,0.503630167386758
2014-07-31,0.69188863,0.5412818599874398
2014-08-31,0.67061543,0.5671485749192732
2014-09-30,0.6582702,0.585372895980493
2014-10-31,0.567397,0.5817777164654857
2014-11-30,0.44567862,0.5545578974784952
2014-12-31,0.32026044,0.5076984050513539
2015-01-31,0.29599217,0.465357157201865
2015-02-28,0.23944882,0.42017548887832856
2015-03-31,0.34199202,0.4045387952240618
2015-04-30,0.3839677,0.4004245757033278
2015-05-31,0.3439113,0.3891219185964147
2015-06-30,0.39443627,0.3901847888768419
2015-07-31,0.45068437,0.40228470482354994
2015-08-31,0.52683794,0.4271953528557272
2015-09-30,0.56662875,0.45508203311237105
2015-10-31,0.5772509,0.4795158060667707
2015-11-30,0.5389894,0.49141052979451766
2015-12-31,0.5138018,0.4958887864607362
2016-01-31,0.55835533,0.5083820954527687
2016-02-29,0.5951153,0.52572873716086
2016-03-31,0.6625223,0.5530874529244888
2016-04-30,0.6654268,0.5755553204824438
2016-05-31,0.66915554,0.5942753640023797
2016-06-30,0.6633197,0.6080842325852656
2016-07-31,0.67873806,0.622214997590887
2016-08-31,0.70390826,0.6385536510001084
2016-09-30,0.755965,0.6620359196861951
2016-10-31,0.78931814,0.6874923646132445
2016-11-30,0.7971012,0.7094141316159802
2016-12-31,0.81326395,0.7301840958392014
2017-01-31,0.8244565,0.7490385792569629
2017-02-28,0.86846894,0.7729246514571757
2017-03-31,0.90485495,0.7993107118235471
2017-04-30,0.9155284,0.8225542527855588
2017-05-31,0.89459324,0.8369620499945605
2017-06-30,0.8891037,0.847390382125928
2017-07-31,0.86947817,0.851807938921415
2017-08-31,0.88803214,0.8590527788066572
2017-09-30,0.9013207,0.8675063622207408
2017-10-31,0.8886848,0.871742051618176
2017-11-30,0.9034888,0.8780914042606969
2017-12-31,0.8982587,0.8821248606216923
2018-01-31,0.9183922,0.8893783247766508
2018-02-28,0.95029616,0.9015618925331127
2018-03-31,1.0192316,0.925095825595704
2018-04-30,1.0197306,0.9440227740629891
2018-05-31,1.0356112,0.9623404497801765
2018-06-30,1.0338118,0.9766347213506306
2018-07-31,1.0456902,0.9904458128547354
2018-08-31,1.043723,1.001101247718786
2018-09-30,1.057457,1.0123723922179975
2018-10-31,1.0210007,1.0140980623568565
2018-11-30,1.0283437,1.0169471853896357
2018-12-31,1.0456489,1.0226875348031026
2019-01-31,1.0142685,1.0210037313413225
2019-02-28,0.996547,1.0161123818168325
2019-03-31,1.0182644,1.0165427880294549
2019-04-30,1.0450981,1.0222538436895552
2019-05-31,1.060374,1.0298778792576744
2019-06-30,1.0590571,1.0357137267078365
2019-07-31,1.0741582,1.0434026197024509
2019-08-31,1.093374,1.053396898542112
2019-09-30,1.1125067,1.0652188682828474
2019-10-31,1.1332831,1.0788317222813073
2019-11-30,1.1567577,1.0944169202978853
2019-12-31,1.1663891,1.1088113577791407
2020-01-31,1.1742897,1.1219070268971407
2020-02-29,1.1868207,1.1348897706113406
2020-03-31,1.2209402,1.1520998629444559
2020-04-30,1.2391628,1.1695124508948105
2020-05-31,1.2364599,1.182901930968839
2020-06-30,1.2307519,1.192471919187608
2020-07-31,1.2161996,1.1972174626419567
2020-08-31,1.1882136,1.1954166874750156
2020-09-30,1.1770624,1.1917458284269729
2020-10-31,1.1581085,1.1850183573063977
2020-11-30,1.1139443,1.1708035442588145
2020-12-31,1.0560391,1.147850654392037
2021-01-31,1.0036979,1.1190200979460028
2021-02-28,0.9869331,1.0926027007856964
2021-03-31,1.0186194,1.0778060442574025
