TIME,Value
2009-06-01,99.68268
2009-07-01,99.84057
2009-08-01,100.0641
2009-09-01,100.2256
2009-10-01,100.3344
2009-11-01,100.5631
2009-12-01,100.763
2010-01-01,100.8281
2010-02-01,100.6689
2010-03-01,100.3927
2010-04-01,100.0584
2010-05-01,99.9381
2010-06-01,99.95467
2010-07-01,100.0337
2010-08-01,100.1447
2010-09-01,100.164
2010-10-01,100.1833
2010-11-01,100.1869
2010-12-01,100.191
2011-01-01,100.3705
2011-02-01,100.4766
2011-03-01,100.4377
2011-04-01,100.3117
2011-05-01,100.1368
2011-06-01,99.94141
2011-07-01,99.65924
2011-08-01,99.10757
2011-09-01,98.48635
2011-10-01,98.04786
2011-11-01,97.92259
2011-12-01,97.83474
2012-01-01,97.8782
2012-02-01,98.01155
2012-03-01,98.07241
2012-04-01,98.13574
2012-05-01,98.04813
2012-06-01,98.08742
2012-07-01,98.39964
2012-08-01,98.58377
2012-09-01,98.59412
2012-10-01,98.35381
2012-11-01,97.96124
2012-12-01,97.78591
2013-01-01,97.77638
2013-02-01,97.67909
2013-03-01,97.87202
2013-04-01,98.21847
2013-05-01,98.39467
2013-06-01,98.33863
2013-07-01,98.30531
2013-08-01,98.45995
2013-09-01,98.73781
2013-10-01,99.18126
2013-11-01,99.69077
2013-12-01,100.0731
2014-01-01,100.3995
2014-02-01,100.6375
2014-03-01,100.7733
2014-04-01,100.7755
2014-05-01,100.7493
2014-06-01,100.6879
2014-07-01,100.5568
2014-08-01,100.3696
2014-09-01,100.2613
2014-10-01,100.2563
2014-11-01,100.2317
2014-12-01,100.2407
2015-01-01,100.3492
2015-02-01,100.4824
2015-03-01,100.6918
2015-04-01,100.8197
2015-05-01,100.9265
2015-06-01,101.0029
2015-07-01,101.0376
2015-08-01,101.0555
2015-09-01,101.0261
2015-10-01,100.9898
2015-11-01,100.9858
2015-12-01,100.9011
2016-01-01,100.7487
2016-02-01,100.521
2016-03-01,100.4146
2016-04-01,100.465
2016-05-01,100.5524
2016-06-01,100.6395
2016-07-01,100.6271
2016-08-01,100.7001
2016-09-01,100.9359
2016-10-01,101.2016
2016-11-01,101.3379
2016-12-01,101.3853
2017-01-01,101.4473
2017-02-01,101.5134
2017-03-01,101.5701
2017-04-01,101.5496
2017-05-01,101.4463
2017-06-01,101.468
2017-07-01,101.56
2017-08-01,101.6012
2017-09-01,101.6004
2017-10-01,101.6414
2017-11-01,101.6086
2017-12-01,101.5799
2018-01-01,101.5417
2018-02-01,101.4748
2018-03-01,101.4801
2018-04-01,101.4546
2018-05-01,101.3896
2018-06-01,101.3968
2018-07-01,101.3967
2018-08-01,101.2855
2018-09-01,101.1371
2018-10-01,100.9245
2018-11-01,100.6532
2018-12-01,100.3138
2019-01-01,100.0084
2019-02-01,99.87112
2019-03-01,99.83794
2019-04-01,99.88564
2019-05-01,99.94914
2019-06-01,100.0618
2019-07-01,100.1039
2019-08-01,100.0661
2019-09-01,100.0648
2019-10-01,100.1348
2019-11-01,100.1429
2019-12-01,100.0949
2020-01-01,99.99648
2020-02-01,99.77165
2020-03-01,99.17291
2020-04-01,98.38207
2020-05-01,98.21861
2020-06-01,98.50125
2020-07-01,98.80422
2020-08-01,98.96999
2020-09-01,99.08098
2020-10-01,99.22149
2020-11-01,99.55471
2020-12-01,99.89304
2021-01-01,100.0878
2021-02-01,100.2549
2021-03-01,100.5656
2021-04-01,100.9202
2021-05-01,101.2449
2021-06-01,101.4264
2021-07-01,101.2328
2021-08-01,100.9417
2021-09-01,100.609
2021-10-01,100.0848
2021-11-01,99.57751
2021-12-01,99.31055
2022-01-01,99.04632
2022-02-01,98.55559
2022-03-01,97.9251
2022-04-01,97.49888
2022-05-01,97.33739
2022-06-01,97.12327
2022-07-01,96.91561
2022-08-01,96.59775
2022-09-01,96.30183
2022-10-01,96.39405
2022-11-01,96.77289
2022-12-01,97.26849
2023-01-01,97.72659
2023-02-01,98.16353
2023-03-01,98.40943
2023-04-01,98.43763
2023-05-01,98.30676
